address,category,city,country,employees,founded,fundation_year,investors,link,market_cap,name,ownership,revenue,satus,stage,telephone,total_raised,type,unnamed,valuation,full_address,latitude,longitude
,IT Services & Consulting,New Jersey United States,,,,1949 (74 yrs old),,,,Automatic Data Processing (ADP),,,,,,,,,,New Jersey United States,40.0757384,-74.4041622
,Automobile,Gurgaon/Gurugram Haryana India,,,,2008 (15 yrs old),,,,VE Commercial Vehicles,Private,,,,,,,,,Gurgaon/Gurugram Haryana India,28.4891009,77.0111934
,Beverage,Gurgaon/Gurugram Haryana India,,,,1995 (28 yrs old),,,,Varun Beverages,Public,,,,,,,,,Gurgaon/Gurugram Haryana India,28.4891009,77.0111934
,Beverage,Bangalore India,,,,1997 (26 yrs old),,,,Hindustan Coca Cola Beverages,Private,,,,,,,,,Bangalore India,12.98815675,77.62260003796
,NBFC,Mumbai India,,,,2020 (3 yrs old),,,,Piramal Capital Housing Finance,,,,,,,,,,Mumbai India,19.054999,72.8692035
,IT Services & Consulting,Vadodara/Baroda Gujarat India,,,,2012 (11 yrs old),,,,L&T Technology Services,Public,,,,,,,,,Vadodara/Baroda Gujarat India,22.2973142,73.1942567
,Consumer Electronics & Appliances,Bangalore/Bengaluru Karnataka India,,,,1954 (69 yrs old),,,,Bel,Private,,,,,,,,,Bangalore/Bengaluru Karnataka India,12.98815675,77.62260003796
,,Chennai Tamil Nadu India,,,,1992 (31 yrs old),,,,Randstad,Private,,,,,,,,,Chennai Tamil Nadu India,13.0836939,80.270186
,Chemicals / Agri Inputs,Mumbai Maharashtra India,,,,1959 (64 yrs old),,,,Pidilite Industries,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,IT Services & Consulting,BangaloreKarnataka India,,,,2014 (9 yrs old),,,,CMS IT Services,Private,,,,,,,,,BangaloreKarnataka India,,
,Defence & Aerospace,New Delhi Delhi India,,,,1932 (91 yrs old),,,,Indian Air Force,Private,,,,,,,,,New Delhi Delhi India,28.64308585,77.21926705734865
,Internet,GurgaonHaryana India,,,,2015 (8 yrs old),,,,CARS24,Private,,,,,,,,,GurgaonHaryana India,,
,IT Services & Consulting,Montreal Quebec Canada,,,,1976 (47 yrs old),,,,Cgi Group,Private,,,,,,,,,Montreal Quebec Canada,45.5031824,-73.5698065
,Financial Services,New York CityNew York United States,,,,1850 (173 yrs old),,,,American Express,Private,,,,,,,,,New York CityNew York United States,,
,Pharma,Vadodara/Baroda Gujrat India,,,,1907 (116 yrs old),,,,Alembic Pharmaceuticals,Public,,,,,,,,,Vadodara/Baroda Gujrat India,,
,Banking,,,,,,,,,NatWest Group,Government,,,,,,,,,,,
,Pharma,Mumbai Maharashtra India,,,,1973 (50 yrs old),,,,Alkem Laboratories,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Logistics,Hyderabad/Secunderabad Telangana India,,,,2012 (11 yrs old),,,,Gati kwe,Private,,,,,,,,,Hyderabad/Secunderabad Telangana India,17.442473907634827,78.50469052729599
,Electrical Equipment,Noida Uttar Pradesh India,,,,1983 (40 yrs old),,,,Havells,Public,,,,,,,,,Noida Uttar Pradesh India,28.5706333,77.3272147
,Pharma,Mumbai Maharashtra India,,,,1977 (46 yrs old),,,,Glenmark Pharmaceuticals,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Electrical Equipment,Zurich Switzerland,,,,2001 (22 yrs old),,,,ABB Group,Public,,,,,,,,,Zurich Switzerland,47.3744489,8.5410422
,Banking,Frankfurt Germany,,,,1870 (153 yrs old),,,,Deutsche Bank,Private,,,,,,,,,Frankfurt Germany,50.1106444,8.6820917
,Retail,Mumbai Maharashtra India,,,,1991 (32 yrs old),,,,Shoppers Stop,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Engineering & Construction,Kolkata West Bengal India,,,,1924 (99 yrs old),,,,Simplex Infrastructures,Public,,,,,,,,,Kolkata West Bengal India,22.5726459,88.3638953
,Pharma,Mumbai Maharashtra India,,,,1949 (74 yrs old),,,,Ipca Laboratories,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Automobile,Gurgaon/Gurugram Haryana India,,,,1999 (24 yrs old),,,,Honda Motorcycle & Scooter,Private,,,,,,,,,Gurgaon/Gurugram Haryana India,28.4891009,77.0111934
,IT Services & Consulting,VilniusVilniaus Apskritis Lithuania,,,,1997 (26 yrs old),,,,Atos,Private,,,,,,,,,VilniusVilniaus Apskritis Lithuania,,
,Logistics,Bangalore/Bengaluru Karnataka India,,,,1990 (33 yrs old),,,,DTDC Express,Private,,,,,,,,,Bangalore/Bengaluru Karnataka India,12.98815675,77.62260003796
