,company_name,city,country
19,1.0,1.0,1
35,1.0,1.0,1
61,1.0,1.0,1
141,1.0,1.0,1
145,1.0,1.0,1
184,1.0,1.0,1
283,1.0,1.0,1
292,1.0,1.0,1
299,1.0,1.0,1
357,1.0,1.0,1
418,1.0,1.0,1
425,1.0,1.0,1
479,1.0,1.0,1
504,1.0,1.0,1
532,1.0,1.0,1
534,1.0,1.0,1
536,1.0,1.0,1
572,1.0,1.0,1
603,1.0,1.0,1
611,1.0,1.0,1
623,1.0,1.0,1
630,1.0,1.0,1
685,1.0,1.0,1
705,1.0,1.0,1
757,1.0,1.0,1
761,1.0,1.0,1
764,1.0,1.0,1
766,1.0,1.0,1
780,1.0,1.0,1
800,1.0,1.0,1
806,1.0,1.0,1
808,1.0,1.0,1
958,1.0,1.0,1
1133,1.0,1.0,1
1167,1.0,1.0,1
1169,1.0,1.0,1
1226,1.0,1.0,1
1231,1.0,1.0,1
1234,1.0,1.0,1
1385,1.0,1.0,1
1387,1.0,1.0,1
1391,1.0,1.0,1
1396,1.0,1.0,1
1398,1.0,1.0,1
1406,1.0,1.0,1
1431,1.0,1.0,1
1444,1.0,1.0,1
1457,1.0,1.0,1
1491,1.0,1.0,1
1547,1.0,1.0,1
1824,1.0,1.0,1
1846,1.0,1.0,1
2007,1.0,1.0,1
2075,1.0,1.0,1
2077,1.0,1.0,1
2080,1.0,1.0,1
2083,1.0,1.0,1
2085,1.0,1.0,1
2087,1.0,1.0,1
2367,1.0,1.0,1
2405,1.0,1.0,1
2421,1.0,1.0,1
2527,1.0,1.0,1
2579,1.0,1.0,1
2632,1.0,1.0,1
3062,1.0,1.0,1
3066,1.0,1.0,1
3144,1.0,1.0,1
3169,1.0,1.0,1
3182,1.0,1.0,1
3200,1.0,1.0,1
3217,1.0,1.0,1
3225,1.0,1.0,1
3422,1.0,1.0,1
3491,1.0,1.0,1
3532,1.0,1.0,1
3567,1.0,1.0,1
3598,1.0,1.0,1
3656,1.0,1.0,1
3660,1.0,1.0,1
3681,1.0,1.0,1
3685,1.0,1.0,1
3688,1.0,1.0,1
3690,1.0,1.0,1
3693,1.0,1.0,1
3695,1.0,1.0,1
3698,1.0,1.0,1
3701,1.0,1.0,1
3736,1.0,1.0,1
3738,1.0,1.0,1
3829,1.0,1.0,1
3875,1.0,1.0,1
3901,1.0,1.0,1
3908,1.0,1.0,1
3911,1.0,1.0,1
3948,1.0,1.0,1
4073,1.0,1.0,1
4157,1.0,1.0,1
4175,1.0,1.0,1
4227,1.0,1.0,1
4278,1.0,1.0,1
4285,1.0,1.0,1
4290,1.0,1.0,1
4418,1.0,1.0,1
4420,1.0,1.0,1
4434,1.0,1.0,1
4498,1.0,1.0,1
4558,1.0,1.0,1
4612,1.0,1.0,1
4640,1.0,1.0,1
4687,1.0,1.0,1
4757,1.0,1.0,1
4762,1.0,1.0,1
4818,1.0,1.0,1
4847,1.0,1.0,1
5066,1.0,1.0,1
5141,1.0,1.0,1
5194,1.0,1.0,1
5231,1.0,1.0,1
5233,1.0,1.0,1
5309,1.0,1.0,1
5397,1.0,1.0,1
5405,1.0,1.0,1
5500,1.0,1.0,1
5502,1.0,1.0,1
5507,1.0,1.0,1
5562,1.0,1.0,1
5586,1.0,1.0,1
5747,1.0,1.0,1
5750,1.0,1.0,1
5754,1.0,1.0,1
5795,1.0,1.0,1
5814,1.0,1.0,1
5828,1.0,1.0,1
5844,1.0,1.0,1
5860,1.0,1.0,1
5914,1.0,1.0,1
6052,1.0,1.0,1
6071,1.0,1.0,1
6096,1.0,1.0,1
6220,1.0,1.0,1
6289,1.0,1.0,1
6303,1.0,1.0,1
6391,1.0,1.0,1
6489,1.0,1.0,1
6502,1.0,1.0,1
6599,1.0,1.0,1
6601,1.0,1.0,1
6603,1.0,1.0,1
6670,1.0,1.0,1
6673,1.0,1.0,1
6703,1.0,1.0,1
6861,1.0,1.0,1
6874,1.0,1.0,1
6892,1.0,1.0,1
6924,1.0,1.0,1
6926,1.0,1.0,1
6945,1.0,1.0,1
7015,1.0,1.0,1
7443,1.0,1.0,1
7447,1.0,1.0,1
7487,1.0,1.0,1
7502,1.0,1.0,1
7504,1.0,1.0,1
7545,1.0,1.0,1
7547,1.0,1.0,1
7620,1.0,1.0,1
7622,1.0,1.0,1
7635,1.0,1.0,1
7657,1.0,1.0,1
7662,1.0,1.0,1
7906,1.0,1.0,1
7932,1.0,1.0,1
8155,1.0,1.0,1
8183,1.0,1.0,1
8200,1.0,1.0,1
8204,1.0,1.0,1
8209,1.0,1.0,1
8221,1.0,1.0,1
8224,1.0,1.0,1
8228,1.0,1.0,1
8243,1.0,1.0,1
8272,1.0,1.0,1
8305,1.0,1.0,1
8486,1.0,1.0,1
8503,1.0,1.0,1
8521,1.0,1.0,1
8526,1.0,1.0,1
9001,1.0,1.0,1
9201,1.0,1.0,1
9203,1.0,1.0,1
9221,1.0,1.0,1
9224,1.0,1.0,1
