company_id,company_name,trade_name,industry,sector,categories,company_status,company_type,headquarters,address,postal_code,city,country,state,continent,foundation_year,registration_date,website,rank,market_cap_or_valuation,number_of_employees,ceo,founder,assets,profit_or_net_income,revenue,total_funding_raised,share_price,change_1_day,change_1_year,debts,phone,sic_code,emtak_code,nace_code,facebook,twitter,pinterest,instagram,investors,region,notes_or_description,normalized_name,modified,normalized_country,city_translate
c11c4decba8742b8853058c68875e0b6 | 3694 | 1804,1-800-flowers.com, | 1-800-flowers.com,,," | ['Consumer Cyclical', 'Retail']",,,, | 2 jericho plz ste 200, | 117531681, | jericho,united states, | new york(ny), | northern america,0,,https://www.info-clipper.com/en/company/united-states/1-800-flowerscom-inc.usdddnn4j.html | https://www.1800flowers.com/," | 7,226",," | 4,800",,," | 1,076 million usd", | 118 million usd," | 2,122 million usd",,,,, | 567 million usd,,,,,,,,,,, | headquarter,1-800-flowers.com,False | True,united states, | jericho
e33d30e1d309429198c1f23eafcb88db | c1312a8c4da24fc99b63787d05769085,10x genomics,,,,"['Genomics', 'Biotech'] | ['Healthcare', 'Medical Equipment', 'Healthcare Technology and Information']",,,,,,,united states, | california, | northern america,0,, | https://www.10xgenomics.com/,"1,410 | 2293", | $5.41 b," | 1,148", | serge saxonov,," | 1,018 million usd", | -58 million usd, | 490 million usd,, | $47.33, | 5.22%, | -46.99%, | 201 million usd,,,,,,,,,,,,10x genomics,True,united states,
53b870f2377d436c9f8c8bf61fc85cdd | 2feb10d62d3545c585a116727108a8d5,11,,,,"['Telecommunication', 'Internet'] | ['Communication Services', 'Telecom', 'Internet Providers']",,,,,,,germany,, | western europe,0,, | https://www.1und1-drillisch.de,"3506 | 3,387", | $2.43 b," | 3,163",,," | 7,790 million usd", | 408 million usd," | 4,312 million usd",, | $13.80, | 2.42%, | -48.58%," | 2,034 million usd",,,,,,,,,,,,11,True,germany,
4300 | 1500,123-reg,,,,,,,,"5th floor the shipping building old viny, 252-254 blyth road",ub3 1ha,hayes,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/123-reg-limited.gbdbw83pd.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,123-reg,False,united kingdom,hayes
2862294f65604246b1233a9e34ec249e | 380a0b3b91894944b8ca185a6dc935d3,1st source,,,,"['Banks', 'Financial services'] | ['Financial Services', 'Banking Services']",,,,,,,united states, | indiana, | northern america,0,, | https://www.1stsource.com/,"4518 | 8,112", | $1.14 b," | 1,130",,," | 8,096 million usd", | 117 million usd, | 336 million usd,,$46.61 | ,-7.98% | , | -4.07%," | 7,126 million usd",,,,,,,,,,,,1st source,True,united states,
5604cf72b0ff4cd9b33d7eb5dd63ce7a | cee62c3607a44c9a98bc3b5cd4239ec4,23andme,,,,"['Biotech', 'Software', 'Tech'] | ['Healthcare', 'Health Care Diagnostics', 'Biotechnology']",,,,,,,united states,, | northern america,0,, | https://www.23andme.com/,"4546 | 5,045", | $1.11 b, | 746,,," | 1,152 million usd", | -217 million usd, | 271 million usd,, | $2.45, | 4.26%, | -45.56%, | 236 million usd,,,,,,,,,,,,23andme,True,united states,
3414 | 267,24,,,,,,,,vaike-turu tn 5-81,51004,"tartu, tartu",estonia,estonia,,0,,https://www.info-clipper.com/en/company/estonia/24-holding-ou.eed9cn4d7.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,24,False,estonia,"tartu, tartu"
,2c2p,,fintech,,,,,,,,,singapore,,,2003,,https://2c2p.com/ | https://www.2c2p.com/,,,343 | 406,,,,,80.62 | 122.44,,,,,,,,,,,,,,,,,2c2p,True,singapore,
097b713fe52b4f44ba5d8cb51cff3977 | 7d2ec615ec67472184d2bf442515b486,2u,,,,"['Consumer Defensive', 'Software and IT', 'Technology', 'Software Products', 'Education'] | ['Education', 'Tech']",,,,,,,united states, | maryland, | northern america,0,, | https://2u.com/,"5392 | 7,651", | $0.52 b," | 3,982",,," | 2,109 million usd", | -194 million usd, | 945 million usd,, | $6.66, | 4.80%,-53.43% | ," | 1,279 million usd",,,,,,,,,,,,2u,True,united states,
,3c,,automobiles,,,,,,,,,italy,,,1979,,https://www.3csrl.com | https://www.3csrl.com/,,,14 | 15,,,,,13.10 | 9.8,,,,,,,,,,,,,,,,,3c,True,italy,
7d536d11bda14309a5444a384cc8b3db | 92b35ffddc3447fe8eb8b01e698e0b14,3d,,,,"['3D Printing', 'Tech', 'Software'] | ['Technology', 'Software and IT', 'Software Products', 'Computers Hardware']",,,,,,,united states, | south carolina, | northern america,0,, | https://www.3dsystems.com,"4421 | 5,412", | $1.23 b," | 1,721",,," | 1,549 million usd", | 322 million usd, | 615 million usd,, | $9.45, | 4.65%, | -43.98%, | 706 million usd,,,,,,,,,,,,3d,True,united states,
 | 8a06f9d2f6954289954b7c7b38fc1adf,3i,,,," | ['Financial Services', 'Investments', 'Asset Management']",,,,,,,united kingdom, | london, | northern europe,0,, | https://www.3i.com/, | 410, | $16.82 b, | 282, | simon a borrows,,"17,481 million usd | $16.62 b","4,727 million usd | $3.83 b","4,882 million usd | $331 m",,,,," | 2,459 million usd",,,,,,,,,,,,3i,True,united kingdom,
5d1354c4892942d3beb0cbd12b3d5305 | 704ed7db224d42888b5063999269d580,3i infotech,,,,"['Technology', 'Software and IT'] | ['Software', 'Tech']",,,,,,,india,, | southern asia,0,, | https://www.3i-infotech.com/,"6,329 | 6670", | $82.79 m,,,, | 120 million usd, | -7 million usd, | 85 million usd,, | $0.49, | -0.50%, | -55.45%, | 32 million usd,,,,,,,,,,,,3i infotech,True,india,
 | 243981a5d2c14becb7eff8556c801f9e | d4f5bba633f2460abeb7bb547f8a5216 | 1191,3m,,,," | ['Industries', 'Medical Equipment', 'Electronics', 'HealthCare Products', 'Chemicals', 'Engineering Products', 'Adhesives', 'Consumer Goods', 'Conglomerate', 'Industry Machinery'] | ['Dow jones', 'Gloves & PPE']",,,, | 3m center, | 551441000, | saint paul,united states, | minnesota | minnesota(mn), | northern america,0,, | https://www.info-clipper.com/en/company/united-states/3m-company.usd3ob6i.html | https://www.3m.com/, | 198 | 147, | $70.19 b | $84.9 b," | 95,000", | mike roman," | ['William McGonagle', 'John Dwan', 'Danley Budd', 'Hermon Cable', 'Henry Bryan']"," | $47.07 b | 47,072 million usd"," | $5.92 b | 5,921 million usd"," | $35.35 b | 35,355 million usd",, | $126.99, | 0.79%, | -25.41%," | 32,026 million usd",,,,,,,,,,, | headquarter,3m,False | True,united states, | saint paul
5e4870e4f6684c26876c6c27c2bd64e8 | 79c49440579a42308e269b974f3f2a15,3m india,,,,"['Gloves & PPE'] | ['Industries', 'Engineering Products', 'Conglomerate']",,,,,,,india, | mumbai, | southern asia,0,, | https://www.3mindia.in/3m/en_in/company-in/,"4,013 | 3100", | $3.14 b,"1,277 | ",,, | 376 million usd, | 34 million usd, | 417 million usd,, | $279.48, | -0.20%, | -15.77%, | 103 million usd,,,,,,,,,,,,3m india,True,india,
4650 | 1194,3m innovative properties, | 3m,,,,,,,3m center bldg 225 3s 06,551441001,saint paul,united states,minnesota(mn),,0,,https://www.info-clipper.com/en/company/united-states/3m-innovative-properties-company.usd27v5mj.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,3m innovative properties,False,united states,saint paul
251 | 3398,3p logistics,,,,,,,,laki poik 2,12919,tallinn,estonia,estonia,,0,,https://www.info-clipper.com/en/company/estonia/3p-logistics-ou.eed8vd8ii.html,,,,,,,,,,,,,,,,,,,,,,,,single address,3p logistics,False,estonia,tallinn
,3zehn auto discount,,automobiles,,,,,,,,,germany,,,2016,,https://www.3zehn.net/ | https://www.3zehn.net,,,9 | 12,,,,,"11,377,000 | 25,448,057",,,,,,,,,,,,,,,,,3zehn auto discount,True,germany,
,4most,,insurance,,,,,,,,,united kingdom,,,2011,,https://www.4-most.co.uk/ | https://www.4-most.co.uk,,,120 | 139,,,,,21.64 | 22.2,,,,,,,,,,,,,,,,,4most,True,united kingdom,
3279 | 1535,5.11,,,,,,,,1360 reynolds ave ste 101,926145535,irvine,united states,california(ca),,0,,https://www.info-clipper.com/en/company/united-states/511-inc.usd28vais.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,5.11,False,united states,irvine
,50nrth,,personal & household goods | retail,,,,,,,,,germany,,,2004,,https://www.50nrth.com/ | https://www.50nrth.com,,,54 | 14,,,,,"10.6 | 35,107,348",,,,,,,,,,,,,,,,,50nrth,True,germany,
,7layers,,cyber security,,,,,,,,,italy,,,2012,,https://www.7layers.it/ | https://www.7layers.it,,,16 | 30 | 9,,,,,"7,800,356 | 5.85 | 5.3",,,,,,,,,,,,,,,,,7layers,True,italy,
b6fe2fcc2b3a480299c36d15f03fa9ed | 8f45c543c1e146dab34720cb707c2c65,7road,,,,"['Video games', 'Entertainment'] | ['Communication Services', 'Gaming', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Internet or Mobile App Based Business', 'Leisure', 'Entertainment']",,,,,,,china,,eastern asia | ,0,, | http://www.7road.com/en/,"9,956 | 4862", | $0.86 b,,,,,,,, | $0.31, | 0.00%, | -6.06%,,,,,,,,,,,,,7road,True,china,
,84codes,,technology,,,,,,,,,sweden,,,2012,,https://www.84codes.com/ | https://www.84codes.com,,,8 | 12,,,,,"8,119,684 | 4.87",,,,,,,,,,,,,,,,,84codes,True,sweden,
0dcdcd655c1440069f5b3ad0de118134 | 7b9ea1f3661241079f40a1d16f07c529,8x8,,,,"['Software', 'Tech'] | ['Technology', 'Software and IT', 'Telecom', 'Utilities', 'Business Services', 'Cloud Services', 'Software Products', 'Telecom Equipment']",,,,,,,united states, | california, | northern america,0,, | https://www.8x8.com,"6,484 | 5457", | $0.49 b," | 2,216",,, | 910 million usd, | -175 million usd, | 638 million usd,, | $4.39, | -1.35%, | -71.79%, | 727 million usd,,,,,,,,,,,,8x8,True,united states,
3845 | 1069,a-plan,,,,,,,,2 des roches square,ox28 4le,witney,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/a-plan-holdings.gbd4ut6sz.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,a-plan,False,united kingdom,witney
890 | 3720,a. menarini diagnostics,,,,,,,,via lungo l'ema 7,50012,bagno a ripoli,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/a-menarini-diagnostics-srl.itde670sz.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,a. menarini diagnostics,True,italy,bagno a ripoli
3945 | 1088,a.a. modelleria,,,,,,,,via roma 142,10060,roletto,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/aa-modelleria-srl.itd73o1t7.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,a.a. modelleria,False,italy,roletto
,a.s.h. automobile,,automobiles,,,,,,,,,germany,,,2014,,https://www.autosalon-hh.de/ | https://autosalon-hh.de,,,4 | 5,,,,,"2,196,630 | 2,333,452",,,,,,,,,,,,,,,,,a.s.h. automobile,True,germany,
,a.u.e. genc,,ecommerce | retail,,,,,,,,,germany,,,2009,,https://www.weg-ist-weg.com,,,9,,,,,"10,980,000 | 5.6",,,,,,,,,,,,,,,,,a.u.e. genc,True,germany,
56871bef69f84fdb8bab6c6a2d8a546d | 2547d1cec3b44f3ebd1dd903da9c4ca8,a10 networks,,,,"['Software', 'Tech', 'Internet', 'IT security'] | ['Technology', 'Electronics', 'Computers Hardware', 'Software and IT Infrastructure']",,,,,,,united states, | california, | northern america,0,, | https://www.a10networks.com/,"8,678 | 4516", | $1.15 b, | 590,,, | 393 million usd, | 94 million usd, | 250 million usd,, | $15.66, | 2.49%, | 7.78%, | 184 million usd,,,,,,,,,,,,a10 networks,True,united states,
 | d3507ec1476a4d48996c7626984c4393,a2a,,,," | ['Utilities', 'Electric Utilities', 'Water Utilities', 'Gas Utilities', 'Waste and Trash Management']",,,,,,,italy,, | south europe,0,, | https://www.a2a.eu/," | 2,933", | $5.33 b," | 12,978",,,"$20.48 b | 19,863 million usd",556 million usd | $595.7 m,"12,739 million usd | $13.42 b",,,,," | 15,716 million usd",,,,,,,,,,,,a2a,True,italy,
3898 | 1969,aac technologies,,,,,,,,20380 town center lane,950143210,cupertino,united states,california(ca),,0,,https://www.info-clipper.com/en/company/united-states/aac-technologies-holdings-inc.usd1ecico.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,aac technologies,False,united states,cupertino
5b1e45360f4d423c9612d132ad64af1f | 91ae4fc0c71a4053bbc1146af2f4fefa,aaon,,,," | ['Industries', 'Capital Goods', 'Building Products and Equipment']",,,,,,,united states, | oklahoma, | northern america,0,, | https://www.aaon.com/,"2789 | 3,995", | $3.89 b," | 2,881",,, | 650 million usd, | 58 million usd, | 534 million usd,, | $73.27, | 0.22%, | 11.59%, | 184 million usd,,,,,,,,,,,,aaon,True,united states,
1add586dbfe94679840a819d4af78ec6 | 737a0d9be6d9495ab4d59dd6886936b1,aar,,,," | ['Industries', 'Aerospace and Defense', 'Aircrafts']",,,,,,,united states, | illinois, | northern america,0,, | https://www.aarcorp.com,"7,499 | 4025", | $1.66 b," | 4,700",,," | 1,573 million usd", | 78 million usd," | 1,820 million usd",, | $48.20, | 0.33%, | 21.01%, | 539 million usd,,,,,,,,,,,,aar,True,united states,
 | beed10f6c89c48ca94bd973402969641 | 27c02285bceb48a391edb2b62a8a5b6f,aareal bank,,,," | ['Banks', 'Financial services'] | ['Financial Services', 'Banking Services']",,,,,,,germany,, | western europe,0,, | https://www.aareal-bank.com/en/," | 3684 | 6,404", | $2.1 b | $2.14 b,,,," | $55.41 b | 48,714 million usd", | $62.6 m | 53 million usd, | 877 million usd | $1.3 b,, | $35.80, | -0.18%, | 11.49%," | 45,654 million usd",,,,,,,,,,,,aareal bank,True,germany,
46dc2b140737481ea0f386df654bc8bf | 6b42234d46334b32b53810ce0ce7ebac,aarti,,,,"['Basic Materials', 'Chemicals'] | ['Chemicals']",,,,,,,india,, | southern asia,0,, | http://www.aarti-industries.com/,"3478 | 5,591", | $2.48 b," | 5,200",,," | 1,211 million usd", | 164 million usd, | 876 million usd,, | $6.85, | -2.06%, | -50.00%, | 470 million usd,,,,,,,,,,,,aarti,True,india,
3467 | 790,aas mid-cap uk branch,,,,,,,,3 st. james's square,sw1y 4ju,london,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/aas-mid-cap-uk-branch.gbd3qrtn2.html,,,,,,,,,,,,,,,,,,,,,,,,single address,aas mid-cap uk branch,False,united kingdom,london
9269e8e7f6494e899b5cc906aa6ba6ae | 6571d77a28244ffca939b26dce540b28,aavas financiers,,,,['Financial services'] | financial services,,,,,,,india,, | southern asia,0,, | https://www.aavas.in/,"4,859 | 3938", | $1.77 b,,,," | 1,379 million usd", | 44 million usd, | 139 million usd,, | $22.42,-0.95% | , | -40.91%," | 1,028 million usd",,,,,,,,,,,,aavas financiers,True,india,
3800 | 1027,ab agri,,,,,,,,64 innovation way lynch wood lynch wood,pe2 6fl,peterborough,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/ab-agri-limited.gbd3ia4ff.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,ab agri,False,united kingdom,peterborough
,abao energy,,construction,,,,,,,,,germany,,,2016,,https://www.abao.energy/ | https://www.abao.energy,,,15,,,,,"1,970,000 | 2,406,917",,,,,,,,,,,,,,,,,abao energy,True,germany,
3257 | 78,abb, | power systems division,,,,,,,via luciano lama 33,20099,sesto san giovanni,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/abb-spa.itd72y6i2.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,abb,False,italy,sesto san giovanni
a0ff0fe5b8544cfc9632cfc35538215a |  | b0fac747f1dc44e19fb018d4c375ba68,abb,,,," | ['Industries', 'Electronics', 'Electrical Products', 'Engineering Products', 'Technology Hardware and Instruments', 'Automation', 'Robotics', 'Consumer Durables', 'Technology', 'Electric Vehicle Charging Station'] | ['Engineering']",,,,,,,switzerland,, | western europe,0,, | https://new.abb.com/,249 |  | 222,$59.69 b |  | $61.35 b," | 105,000", | bjorn rosengren,," | $42.27 b | 40,620 million usd"," | 4,546 million usd | $4.65 b"," | 28,945 million usd | $28.93 b",, | $31.63, | 0.22%, | -10.40%," | 24,681 million usd",,,,,,,,,,,,abb,True,switzerland,
45ff1185af8c4e3c8f789b261dfe5149 | 9906443bb8c645c09ae1abcefae6b9fb,abb india,,,,"['Industries', 'Engineering Products', 'Engineering Services', 'Industry Machinery', 'Electronics', 'Electrical Products'] | ['Engineering']",,,,,,,india,, | southern asia,0,, | https://new.abb.com/,"2,718 | 1794", | $7.65 b," | 3,299",,," | 1,056 million usd", | 67 million usd, | 907 million usd,, | $36.11, | 0.52%, | 14.09%, | 526 million usd,,,,,,,,,,,,abb india,True,india,
 | 078fc42523be4528a0eb804f7ceb4ddf | 2605a50fa184402889d9d37a3bbdafbb,abbott laboratories,,,," | ['Medical devices'] | ['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology', 'Medical Equipment']",,,,,,,united states, | illinois, | northern america,0,, | http://www.abbott.com/, | 43 | 53, | $210.98 b | $188.46 b," | 113,000", | robert ford, | wallace calvin abbott," | $75.2 b | 75,196 million usd"," | 7,071 million usd | $7.7 b"," | 43,075 million usd | $44.51 b",, | $108.09, | 0.15%, | -15.80%," | 39,394 million usd",,,,,,,,,,,,abbott laboratories,True,united states,
 | 50afc027669441c1be1ad66e96e2d505 | bb6653c1a8a34e5986c334d9e08053ad,abbvie,,,," | ['Biotech', 'Pharmaceuticals'] | ['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology']",,,,,,,united states, | illinois, | northern america,0,, | https://www.abbvie.com/, | 46 | 28, | $289.42 b | $273.76 b," | 50,000", | richard a. gonzalez,," | 146,530 million usd | $146.53 b","$11.46 b | 11,542 million usd | ","$56.2 b |  | 56,197 million usd",, | $163.66, | 1.26%, | 40.04%," | 131,120 million usd",,,,,,,,,,,,abbvie,True,united states,
31 | 3179,abc garden,,,,,,,,variku tee 6-1,11911,tallinn,estonia,estonia,,0,,https://www.info-clipper.com/en/company/estonia/abc-garden-ou.eed8vdhlz.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,abc garden,False,estonia,tallinn
,abc rent,,automobiles,,,,,,,,,italy,,,2004,,http://www.abcrent.it | http://www.abcrent.it/,,,8,,,,,"21,818,000 | 16,295,312",,,,,,,,,,,,,,,,,abc rent,True,italy,
b957c3f98f6846b1a311e8091dc8a439 | 98ce53ae02134006bdbcc1bb40982e6b,abcam,,,,"['Healthcare', 'Biotechnology'] | ['Biotech']",,,,,,,united kingdom,, | northern europe,0,, | https://www.abcam.com/,"2836 | 3,422", | $3.75 b," | 1,492",,," | 1,308 million usd", | 23 million usd,613 million usd | ,, | $16.36, | 3.68%, | -2.62%, | 438 million usd,,,,,,,,,,,,abcam,True,united kingdom,
3809 | 1036,abellio east anglia,,,,,,,,"2nd floor st andrews house, 18-20 st. andrew street",ec4a 3ag,london,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/abellio-east-anglia-limited.gbd3ljacr.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,abellio east anglia,False,united kingdom,london
3812 | 1039,abellio east midlands,,,,,,,,2nd floor st andrew's house 18-20 st andrew street,ec4a 3ag,london,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/abellio-east-midlands-limited.gbd3nprnp.html,,,,,,,,,,,,,,,,,,,,,,,,single address,abellio east midlands,False,united kingdom,london
4483 | 109,abellio scotrail,,,,,,,,culzean house 36 renfield street,g2 1lu,glasgow,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/abellio-scotrail-ltd.gbd3mnavy.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,abellio scotrail,False,united kingdom,glasgow
4d206ec9275543bfad9aa57a55782257 | 63cc81db0dde4c42871d9d5bbe5afdc5,abercrombie fitch,,,,"['Clothing', 'Retail'] | ['Consumer Cyclical', 'Retail']",,,,,,,united states, | new york, | northern america,0,, | http://corporate.abercrombie.com,"6,537 | 4296", | $1.36 b," | 34,000",,," | 2,939 million usd", | 263 million usd," | 3,712 million usd",, | $27.79, | 2.70%, | -14.12%," | 2,102 million usd",,,,,,,,,,,,abercrombie fitch,True,united states,
959 | 3804,abet,,,,,,,,viale industria 19,12042,bra,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/abet-spa.itd72tm7z.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,abet,True,italy,bra
e8c90b02364b4978a368fdae0651c7ea | 20911ccc3b754e418c4daf7f75bfd80a,abiomed,,,,"['Medical devices'] | ['Healthcare', 'Medical Equipment', 'HealthCare Products']",,,,,,,united states, | massachusetts, | northern america,0,, | http://www.abiomed.com/,"1,389 | 980", | $17.00 b," | 1,725", | michael r. minogue,," | 1,673 million usd", | 136 million usd," | 1,031 million usd",, | $377.20, | -0.06%, | 20.73%, | 170 million usd,,,,,,,,,,,,abiomed,True,united states,
68bcf410f9224a73a9ec0fd6caec1c95 | 07841a6793084be180be9e39a33d7aae,abm,,,," | ['Industries', 'Financial Services', 'Business Services']",,,,,,,united states, | new york, | northern america,0,, | https://www.abm.com,"4,976 | 3204", | $2.94 b," | 124,000",,," | 4,436 million usd", | 126 million usd," | 6,228 million usd",, | $44.93, | 0.76%, | 8.87%," | 2,827 million usd",,,,,,,,,,,,abm,True,united states,
1789 | 3670,abm industry groups,,,,,,,,14141 southwest fwy ste 477,774784630,sugar land,united states,texas(tx),,0,,https://www.info-clipper.com/en/company/united-states/abm-industry-groups-llc.usd1bzcd5.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,abm industry groups,False,united states,sugar land
1054 | 3830,abn amro clearing london,,,,,,,,5 aldermanbury square,ec2v 7hr,london,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/abn-amro-clearing-london-limited.gbd3pnl03.html,,,,,,,,,,,,,,,,,,,,,,,,single address,abn amro clearing london,False,united kingdom,london
4077 | 1211,above comparison,,,,,,,,via felice casati 1 a,20124,milano,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/above-comparison-srl.itd7bxqct.html,,,,,,,,,,,,,,,,,,,,,,,,single address,above comparison,False,italy,milano
3305 | 586,abraham,,,,,,,,via fosse incrociate 284,47822,santarcangelo di romagna,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/abraham-industries-srl.itd74jze4.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,abraham,False,italy,santarcangelo di romagna
 | def3f1ccf9df4052b96b65eb5758d9c9 | 1955,abrdn,,,," | ['Financial Services', 'Asset Management', 'Investments']",,,, | standard life house 30 lothian road, | eh1 2dh, | edinburgh,united kingdom,united kingdom |  | scotland, | northern europe,0,, | https://www.info-clipper.com/en/company/united-kingdom/abrdn-plc.gbd5qjeu8.html | https://www.standardlifeaberdeen.com/," | 2,444", | $6.38 b," | 6,029",,," | $15.46 b | 15,152 million usd"," | $1.37 b | 1,319 million usd"," | 2,236 million usd | $2.56 b",,,,," | 4,735 million usd",,,,,,,,,,, | headquarter,abrdn,False | True,united kingdom, | edinburgh
 | 09eaf6192bf9476e87869669080a5716,absa,,,," | ['Financial Services', 'Banking Services']",,,,,,,south africa,, | southern africa,0,,https://www.absa.africa/ | ," | 2,087", | $8.83 b," | 20,000",,,"$102.81 b | 112,230 million usd","1,084 million usd | $1.2 b","5,571 million usd | $9.04 b",,,,," | 103,350 million usd",,,,,,,,,,,,absa,True,south africa,
,abtot mark anlaggning,,support services | construction,,,,,,,,,sweden,,,2012,,https://www.abtot.se/ | https://www.abtot.se,,,23 | 19,,,,,"6,440,975 | 9,983,094",,,,,,,,,,,,,,,,,abtot mark anlaggning,True,sweden,
853 | 3567,abysse uk,,,,,,,,c/o accountsco 47 islington park street,n1 1qb,london,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/abysse-uk-ltd.gbd3pjrz5.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,abysse uk,False,united kingdom,london
1b3304a2aff8400aa4ccfdd565c8526c | 35eed906c1b74ef99b63aa6738db4bca,acadia pharmaceuticals,,,," | ['Healthcare', 'Pharmaceutical', 'HealthCare Products', 'Biotechnology']",,,,,,,united states, | california, | northern america,0,, | http://www.acadia-pharm.com/,"4,217 | 3110", | $3.13 b, | 514,,, | 700 million usd, | -167 million usd, | 484 million usd,, | $19.35,4.71% | , | -8.64%, | 159 million usd,,,,,,,,,,,,acadia pharmaceuticals,True,united states,
d8e0a3c9fc4b4eb38bef3af7701f617d | 0389aca0bb1140c4a44e56beb5a9836e,acadia realty trust,,,,"['Real estate', 'Investment', 'REITs'] | ['Real Estate', 'Consumer Services', 'Retail', 'Property Investments', 'Commercial Properties']",,,,,,,united states, | new york, | northern america,0,, | https://www.acadiarealty.com,"6,373 | 4160", | $1.50 b, | 123,,,"4,261 million usd | ", | 23 million usd, | 292 million usd,, | $14.97, | 1.35%, | -25.78%," | 2,111 million usd",,,,,,,,,,,,acadia realty trust,True,united states,
2196 | 4140,acams north america chapters,,,,,,,,80 sw 8th st ste 2350,331303013,miami,united states,florida(fl),,0,,https://www.info-clipper.com/en/company/united-states/acams-north-america-chapters-inc.usd15ogk4.html,,,,,,,,,,,,,,,,,,,,,,,,single address,acams north america chapters,False,united states,miami
,acanthe conseil,,support services,,,,,,,,,france,,,2013,,https://www.acanthe-conseil.com | https://www.acanthe-conseil.com/,,,30 | 31,,,,,3.4 | 4.81,,,,,,,,,,,,,,,,,acanthe conseil,True,france,
,accedia,,technology,,,,,,,,,bulgaria,,,2012,,https://accedia.com/ | https://accedia.com,,,117 | 109,,,,,6.64 | 4.5,,,,,,,,,,,,,,,,,accedia,True,bulgaria,
5368910c4171471a8ef15b5e06c7da12 | cdb0d9b26f3f4575b6e7a83666061801,accel entertainment,,,,"['Entertainment', 'Gambling'] | ['Consumer Cyclical', 'Gambling']",,,,,,,united states,, | northern america,0,, | https://www.accelentertainment.com/,"8,507 | 4963", | $0.78 b, | 770,,, | 616 million usd, | 31 million usd, | 734 million usd,, | $8.96, | 0.79%, | -24.96%, | 457 million usd,,,,,,,,,,,,accel entertainment,True,united states,
d38f5769cb644305bf77af14794bd780 |  | 7da84ad576a648968cd50f2149acf8d8,accenture,,,," | ['Technology', 'Software and IT', 'Software Products', 'Software Consulting Services', 'Software Outsourcing Services', 'Business Services', 'Consulting Services', 'Outsourcing and Staffing', 'Artificial Intelligence'] | ['Professional services']",,,,,,,ireland, | dublin, | northern europe,0,, | https://www.accenture.com/, | 52 | 48, | $196.86 b | $189.25 b," | 699,000", | julie sweet, | clarence delany," | 43,175 million usd | $44.32 b"," | $6.39 b | 5,906 million usd"," | 50,533 million usd | $56.7 b",, | $300.13, | -0.89%, | -17.84%," | 23,646 million usd",,,,,,,,,,,,accenture,True,ireland,
1524 | 4324,accenture,,,,,,,,plantation place 30 fenchurch street,ec3m 3bd,london,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/accenture-plc.gbd3o8lux.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,accenture,False,united kingdom,london
1504 | 4376,accenture,,,,,,,,via nino bonnet 10,20154,milano,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/accenture-spa.itd78tok8.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,accenture,False,italy,milano
4318 | 1518,accenture (uk),,,,,,,,30 fenchurch street,ec3m 3bd,london,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/accenture-limited.gbdc5kakf.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,accenture (uk),False,united kingdom,london
