company_id,company_name,trade_name,industry,sector,categories,company_status,company_type,headquarters,address,postal_code,city,country,state,continent,foundation_year,registration_date,website,rank,market_cap_or_valuation,number_of_employees,ceo,founder,assets,profit_or_net_income,revenue,total_funding_raised,share_price,change_1_day,change_1_year,debts,phone,sic_code,emtak_code,nace_code,facebook,twitter,pinterest,instagram,investors,region,notes_or_description,normalized_name,modified,normalized_country,city_translate
,memory pc,,ecommerce | retail,,,,,,,,,germany,,,2012,,https://www.memorypc.de/ | https://www.memorypc.de,,,110 | 64,,,,,"57,375,000 | 32,652,980",,,,,,,,,,,,,,,,,memory pc,True,germany,
1559 | 3311,memphis opco,,,,,,,,6025 primacy pkwy,381195763,memphis,united states,tennessee(tn),,0,,https://www.info-clipper.com/en/company/united-states/memphis-opco-llc.usddnf9q9.html,,,,,,,,,,,,,,,,,,,,,,,,single address,memphis opco,False,united states,memphis
,mercantile insurance,,insurance | financial services,,,,,,,,,philippines,,,1962,,https://mercantile.ph/,,,289 | 319,,,,,31.08 | 37.77,,,,,,,,,,,,,,,,,mercantile insurance,True,philippines,
6388df5289dd44c3af93934ba9ff296b | 234c6b8332bd4a49bdb0e55c44aff85e,mercari,,,,"['Consumer Cyclical', 'eCommerce', 'Internet or Mobile App Based Business', 'Retail'] | ['Internet', 'E-Commerce', 'Tech']",,,,,,,japan,,eastern asia | ,0,, | https://www.mercari.com/,"2994 | 2,445", | $3.37 b," | 2,194",,,"1,916 million usd | ", | 42 million usd,774 million usd | ,, | $20.99, | -2.38%, | -50.67%," | 1,624 million usd",,,,,,,,,,,,mercari,True,japan,
 | 62b40abadb4c4a8fbd736257ea103f7d,mercedes-benz,,,," | ['Automakers', 'Manufacturing', 'DAX', 'Autonomous driving']",,,,,,,germany,,,0,,, | 189,$74.62 b | $72.20 b,,,,$295.48 b | , | $27.19 b, | $178.94 b,, | $67.49, | -0.11%, | -16.75%,,,,,,,,,,,,,mercedes-benz,True,germany,
3b463a8678df4efea4c26696ab03d25b | 7a5b389c80814fc9833d0efd902a62ea,merchants bancorp,,,,"['Banks', 'Financial services'] | ['Financial Services', 'Banking Services']",,,,,,,united states, | indiana, | northern america,0,, | https://www.merchantsbankofindiana.com/,"4561 | 7,673", | $1.10 b, | 481,,," | 11,278 million usd", | 206 million usd, | 427 million usd,, | $25.60, | 1.79%, | -13.37%," | 10,123 million usd",,,,,,,,,,,,merchants bancorp,True,united states,
2242 | 2239,merci maman,,,,,,,,25 heathmans road,sw6 4tj,london,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/merci-maman-holding-limited.gbd3otdgu.html | https://www.info-clipper.com/en/company/united-kingdom/merci-maman-limited.gbd3kxrs2.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter | single address,merci maman,False,united kingdom,london
 | 8c30c5d328c04e07931a3fbc1c9187fd | 5c23590bf0ed4f638e694bac3ec432c4,merck,,,," | ['Pharmaceuticals', 'Dow jones', 'Biotech'] | ['Healthcare', 'Pharmaceutical', 'Animal Healthcare Companies', 'Animal Health Medicine', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology']",,,,,,,united states, | new jersey, | northern america,0,, | https://www.merck.com/index.html, | 59 | 31, | $213.83 b | $278.99 b," | 68,000", | robert m. davis," | ['George W. Merck', 'Theodore Weicker']"," | 91,588 million usd | $105.69 b","$13.05 b |  | 13,040 million usd"," | 48,700 million usd | $50.37 b",, | $110.04, | 0.22%, | 48.92%," | 66,184 million usd",,,,,,,,,,,,merck,True,united states,
febec5545a5b4861aecf49ddeead5e63 | fc781f4770354c6b86f063bb616baf52,mercury,,,," | ['Industries', 'Electronics', 'Electrical Products', 'Capital Goods', 'Aerospace and Defense']",,,,,,,united states, | massachusetts, | northern america,0,, | https://www.mrcy.com/,"4,614 | 3288", | $2.80 b," | 2,384",,," | 2,304 million usd", | 11 million usd, | 988 million usd,, | $48.46, | 3.28%, | -16.35%, | 767 million usd,,,,,,,,,,,,mercury,True,united states,
534 | 3249,mercury 1,,,,,,,,viale giuseppe mazzini 4,195 | 00195,roma,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/mercury-1-srl.itd7a8ys0.html,,,,,,,,,,,,,,,,,,,,,,,,single address,mercury 1,False,italy,roma
